seed,scope,admissible_share,eps,min_samples,scope_size,scope_share_of_pool,clusters,noise_share_within_scope,core_border_share_within_scope,unknown_rate_coherent,unknown_rate_noise,background_rate_coherent,background_rate_noise,unknown_objects_scope,unknown_objects_kept,unknown_classes_kept,head_objects_kept,medium_objects_kept,tail_objects_kept,tail_classes_kept,tail_retained_vs_scope,tail_retained_vs_pool,known_share_coherent,known_retained_vs_scope,c1_objects_not_preferentially_deleted,c2_background_concentrated_in_noise,c3_tail_retained,c4_gate_does_something,accepted
1,admissible,0.3,0.35,5,24000,0.3,59,0.343,0.657,0.05517503805175038,0.13301749271137026,0.716324200913242,0.527818270165209,772,590,46,277,116,197,19,0.788,0.556497175141243,0.2285007610350076,0.563408913213448,False,False,False,True,False
1,full_pool,1.0,0.35,20,80000,1.0,6,0.197375,0.802625,0.01935835539635571,0.09594680177327422,0.8586513004204952,0.6329955668144395,1268,960,56,505,190,265,23,0.748587570621469,0.748587570621469,0.12199034418314904,0.6466606125650128,False,False,False,True,False
1,admissible,0.3,0.35,20,24000,0.3,8,0.505,0.495,0.04048821548821549,0.12244224422442244,0.7566498316498317,0.5487623762376238,772,440,42,208,79,153,16,0.612,0.4322033898305085,0.20286195286195285,0.37685691946833466,False,False,False,True,False
1,full_pool,1.0,0.45,5,80000,1.0,2,0.0068875,0.9931125,0.0344875328827298,0.032667876588021776,0.8156301526765598,0.5952813067150635,1268,1265,58,655,258,352,23,0.9943502824858758,0.9943502824858758,0.1498823144407104,0.9830760340130439,True,False,True,False,False
1,admissible,0.3,0.45,5,24000,0.3,6,0.04675,0.95325,0.08169420403881458,0.0855614973262032,0.6581431943351692,0.5196078431372549,772,766,49,363,155,248,19,0.992,0.7005649717514124,0.2601626016260163,0.9307271305707584,False,False,True,False,False
1,full_pool,1.0,0.45,20,80000,1.0,1,0.0169625,0.9830375,0.034408656841676946,0.03831982313927782,0.8192464682171331,0.5165806927044952,1268,1264,58,654,258,352,23,0.9943502824858758,0.9943502824858758,0.14634487494118995,0.9501362172872121,False,False,True,False,False
1,admissible,0.3,0.45,20,24000,0.3,2,0.134125,0.865875,0.07439487993840527,0.1301646474060267,0.6796111832924305,0.47126436781609193,772,745,48,354,151,240,19,0.96,0.6779661016949152,0.24599393676916415,0.799374511336982,False,False,True,True,False
1,admissible_sensitivity,0.1,0.15,5,8000,0.1,1,0.95975,0.04025,0.09627329192546584,0.1635842667361292,0.8975155279503105,0.42914821568116696,476,28,18,11,5,12,8,0.06666666666666667,0.03389830508474576,0.006211180124223602,0.0006391818472355385,False,False,False,True,False
1,admissible_sensitivity,0.1,0.25,5,8000,0.1,14,0.911875,0.088125,0.08226950354609928,0.1684715558601782,0.6028368794326241,0.43303632625085675,476,55,20,30,6,19,10,0.10555555555555556,0.05367231638418079,0.3148936170212766,0.07094918504314478,False,False,False,True,False
1,admissible_sensitivity,0.1,0.35,5,8000,0.1,22,0.747875,0.252125,0.11650966782350025,0.17583152264750126,0.540406544372831,0.4168477352498746,476,225,29,123,26,76,12,0.4222222222222222,0.21468926553672316,0.3430837878036688,0.22115691914349633,False,False,False,True,False
1,admissible_sensitivity,0.1,0.45,5,8000,0.1,21,0.55625,0.44375,0.11183098591549295,0.2,0.49802816901408453,0.40808988764044946,476,321,34,157,47,117,14,0.65,0.3305084745762712,0.3901408450704225,0.44263342921061044,False,False,False,True,False
